#At time x allocated y bytes for process z from i to j
At time 1 allocated 52 bytes for process 1 from 0 to 63
At time 1 allocated 38 bytes for process 2 from 64 to 127
At time 1 allocated 122 bytes for process 3 from 128 to 255
At time 1 allocated 245 bytes for process 4 from 256 to 511
At time 1 allocated 50 bytes for process 5 from 512 to 575
At time 1 allocated 230 bytes for process 6 from 768 to 1023
At time 6 freed 64 bytes from process 2 from 64 to 127
At time 9 freed 128 bytes from process 3 from 128 to 255
At time 21 allocated 125 bytes for process 7 from 128 to 255
At time 24 freed 256 bytes from process 4 from 256 to 511
At time 32 freed 128 bytes from process 7 from 128 to 255
At time 36 freed 64 bytes from process 5 from 512 to 575
At time 41 allocated 100 bytes for process 8 from 128 to 255
At time 42 freed 64 bytes from process 1 from 0 to 63
At time 43 freed 256 bytes from process 6 from 768 to 1023
At time 44 allocated 240 bytes for process 9 from 256 to 511
At time 52 freed 128 bytes from process 8 from 128 to 255
At time 55 freed 256 bytes from process 9 from 256 to 511
