# Scheduler start at time 1
# algo=3, quantum=9
#At time x process y state arr w total z remain y wait k
At time 4 process 1 started arr 4 total 8 remain 7 wait 0
At time 5 process 1 resumed arr 4 total 8 remain 6 wait 0
At time 6 process 1 resumed arr 4 total 8 remain 5 wait 0
At time 7 process 1 resumed arr 4 total 8 remain 4 wait 0
At time 8 process 1 resumed arr 4 total 8 remain 3 wait 0
At time 9 process 1 resumed arr 4 total 8 remain 2 wait 0
At time 10 process 1 resumed arr 4 total 8 remain 1 wait 0
At time 11 process 1 resumed arr 4 total 8 remain 0 wait 0
At time 11 process 1 finished arr 4 total 8 remain 0 wait 0 TA 7 WTA 0.88
At time 12 process 2 started arr 6 total 21 remain 20 wait 6
At time 13 process 2 resumed arr 6 total 21 remain 19 wait 6
At time 14 process 2 resumed arr 6 total 21 remain 18 wait 6
At time 15 process 2 resumed arr 6 total 21 remain 17 wait 6
At time 16 process 2 resumed arr 6 total 21 remain 16 wait 6
At time 17 process 2 resumed arr 6 total 21 remain 15 wait 6
At time 18 process 2 resumed arr 6 total 21 remain 14 wait 6
At time 19 process 2 resumed arr 6 total 21 remain 13 wait 6
At time 20 process 2 resumed arr 6 total 21 remain 12 wait 6
At time 20 process 2 stopped arr 6 total 21 remain 12 wait 6
At time 21 process 3 started arr 13 total 14 remain 13 wait 8
At time 22 process 3 resumed arr 13 total 14 remain 12 wait 8
At time 23 process 3 resumed arr 13 total 14 remain 11 wait 8
At time 24 process 3 resumed arr 13 total 14 remain 10 wait 8
At time 25 process 3 resumed arr 13 total 14 remain 9 wait 8
At time 26 process 3 resumed arr 13 total 14 remain 8 wait 8
At time 27 process 3 resumed arr 13 total 14 remain 7 wait 8
At time 28 process 3 resumed arr 13 total 14 remain 6 wait 8
At time 29 process 3 resumed arr 13 total 14 remain 5 wait 8
At time 29 process 3 stopped arr 13 total 14 remain 5 wait 8
At time 30 process 4 started arr 22 total 10 remain 9 wait 8
At time 31 process 4 resumed arr 22 total 10 remain 8 wait 8
At time 32 process 4 resumed arr 22 total 10 remain 7 wait 8
At time 33 process 4 resumed arr 22 total 10 remain 6 wait 8
At time 34 process 4 resumed arr 22 total 10 remain 5 wait 8
At time 35 process 4 resumed arr 22 total 10 remain 4 wait 8
At time 36 process 4 resumed arr 22 total 10 remain 3 wait 8
At time 37 process 4 resumed arr 22 total 10 remain 2 wait 8
At time 38 process 4 resumed arr 22 total 10 remain 1 wait 8
At time 38 process 4 stopped arr 22 total 10 remain 1 wait 8
At time 39 process 5 started arr 28 total 9 remain 8 wait 11
At time 40 process 5 resumed arr 28 total 9 remain 7 wait 11
At time 41 process 5 resumed arr 28 total 9 remain 6 wait 11
At time 42 process 5 resumed arr 28 total 9 remain 5 wait 11
At time 43 process 5 resumed arr 28 total 9 remain 4 wait 11
At time 44 process 5 resumed arr 28 total 9 remain 3 wait 11
At time 45 process 5 resumed arr 28 total 9 remain 2 wait 11
At time 46 process 5 resumed arr 28 total 9 remain 1 wait 11
At time 47 process 5 resumed arr 28 total 9 remain 0 wait 11
At time 47 process 5 finished arr 28 total 9 remain 0 wait 11 TA 19 WTA 2.11
At time 48 process 2 resumed arr 6 total 21 remain 11 wait 33
At time 49 process 2 resumed arr 6 total 21 remain 10 wait 33
At time 50 process 2 resumed arr 6 total 21 remain 9 wait 33
At time 51 process 2 resumed arr 6 total 21 remain 8 wait 33
At time 52 process 2 resumed arr 6 total 21 remain 7 wait 33
At time 53 process 2 resumed arr 6 total 21 remain 6 wait 33
At time 54 process 2 resumed arr 6 total 21 remain 5 wait 33
At time 55 process 2 resumed arr 6 total 21 remain 4 wait 33
At time 56 process 2 resumed arr 6 total 21 remain 3 wait 33
At time 56 process 2 stopped arr 6 total 21 remain 3 wait 33
At time 57 process 3 resumed arr 13 total 14 remain 4 wait 35
At time 58 process 3 resumed arr 13 total 14 remain 3 wait 35
At time 59 process 3 resumed arr 13 total 14 remain 2 wait 35
At time 60 process 3 resumed arr 13 total 14 remain 1 wait 35
At time 61 process 3 resumed arr 13 total 14 remain 0 wait 35
At time 61 process 3 finished arr 13 total 14 remain 0 wait 35 TA 48 WTA 3.43
At time 62 process 4 resumed arr 22 total 10 remain 0 wait 31
At time 62 process 4 finished arr 22 total 10 remain 0 wait 31 TA 40 WTA 4.00
At time 63 process 2 resumed arr 6 total 21 remain 2 wait 39
At time 64 process 2 resumed arr 6 total 21 remain 1 wait 39
At time 65 process 2 resumed arr 6 total 21 remain 0 wait 39
At time 65 process 2 finished arr 6 total 21 remain 0 wait 39 TA 59 WTA 2.81
